tournament,game,point,half,offence_defence,player_1,player_2,player_3,player_4,player_5,player_6,player_7,crash_scored,crash_turns,player_forced_ds,player_assisted,player_scored
MayDays,Torque,10,Second,O,Milha,Luke,Sonja,Greg,Tammy,Jack,Audrey,TRUE,1,[],Jack,Audrey
MayDays,Torque,11,Second,D,Wendy,Adam,Karen,Henri,Christine,Nicole,Jeremie,TRUE,0,[],Wendy,Jeremie
MayDays,Torque,12,Second,D,Ellen,Jake,Sonja,Greg,Victoria,Sam,Morgan,FALSE,1,"[""Jake""]",,
MayDays,Torque,13,Second,O,Wendy,Adam,Andy,Karen,Dan,Jeff,Audrey,TRUE,0,[],Dan,Karen
MayDays,Torque,14,Second,D,Milha,Luke,Ellen,Tammy,Jack,Sam,Chloe,TRUE,1,"[""Milha""]",Jack,Chloe
MayDays,Jungle Speed_1,1,First,O,Audrey,Karen,Henri,Wendy,Nicole,Jeff,Dan,FALSE,1,[],,
MayDays,Jungle Speed_1,2,First,O,Sonja,Greg,Milha,Luke,Victoria,Morgan,Jack,FALSE,3,"[""Greg""]",,
MayDays,Jungle Speed_1,3,First,O,Karen,Adam,Chloe,Andy,Christine,Jeremie,Dan,FALSE,1,[],,
MayDays,Jungle Speed_1,4,First,O,Sonja,Ellen,Jake,Tammy,Sam,Jack,Audrey,FALSE,1,[],,
MayDays,Jungle Speed_1,5,First,O,Henri,Wendy,Adam,Chloe,Christine,Nicole,Jeremie,FALSE,1,[],,
MayDays,Jungle Speed_1,6,First,O,Sonja,Greg,Milha,Luke,Victoria,Sam,Morgan,TRUE,1,[],Luke,Greg
MayDays,Jungle Speed_1,7,First,D,Audrey,Karen,Henri,Wendy,Andy,Jeff,Dan,TRUE,1,"[""Dan"", ""Jeff""]",Dan,Audrey
MayDays,Jungle Speed_1,8,First,D,Milha,Ellen,Jake,Tammy,Victoria,Morgan,Jack,TRUE,2,"[""Ellen""]",Victoria,Jack
MayDays,Jungle Speed_1,9,First,D,Audrey,Adam,Chloe,Andy,Christine,Nicole,Jeremie,FALSE,1,[],,
MayDays,Jungle Speed_1,10,First,O,Sonja,Greg,Milha,Luke,Jake,Tammy,Sam,TRUE,0,[],Milha,Sonja
MayDays,Jungle Speed_1,11,Second,D,Karen,Henri,Wendy,Andy,Nicole,Jeff,Dan,TRUE,0,[],Henri,Karen
MayDays,Jungle Speed_1,12,Second,D,Milha,Ellen,Jake,Victoria,Morgan,Jack,Audrey,TRUE,0,[],Jake,Audrey
MayDays,Jungle Speed_1,13,Second,D,Karen,Wendy,Adam,Chloe,Christine,Jeff,Jeremie,TRUE,0,[],Jeremie,Jeff
MayDays,Jungle Speed_1,14,Second,D,Sonja,Greg,Luke,Ellen,Tammy,Sam,Jack,TRUE,0,[],Luke,Ellen
MayDays,Jungle Speed_1,15,Second,D,Karen,Henri,Chloe,Andy,Nicole,Jeremie,Dan,TRUE,0,"[""Andy""]",Dan,Jeremie
MayDays,Jungle Speed_1,16,Second,D,Milha,Luke,Ellen,Jake,Tammy,Victoria,Morgan,FALSE,1,[],,
MayDays,Jungle Speed_1,17,Second,O,Audrey,Wendy,Adam,Chloe,Christine,Jeff,Dan,FALSE,2,[],,
